Element,Coordinates
Na,"[-13.336971749046176, -219.53161381142527, 70.13105122219798, -34.051656303755934, 124.24726944893183, 390.58915499228806, -190.07664154898922, 52.7462900606698, -176.38791224441331, 89.56288966171529, 20.196959336439225, -47.45448571368913, -220.26298884011257, 76.04596549640279, 150.63994662229322, -126.2996570547523, -45.78681762222953, 134.40447060405847, 227.58903514700648, 75.25133387473637, -59.953190727934114, 123.61645016176686, 73.17246603698051, -60.5877690935408, -104.32258646264856, 5.33086320223229, -60.36617329579318, 46.15236027772554, 136.66878470992364, 39.24736000026968, -167.1960815879804, -60.06164111691461]"
Mg,"[120.74214174134873, -39.64820724097957, -44.39844596134079, 63.97602731379918, -23.453897301102295, -85.360285429598, -47.428218996157334, -47.41684200929995, 4.101063352344761, -43.43111285779405, 122.06947406046525, 13.145927691093364, 41.12362437366849, -122.76311164682794, -125.07705606099428, 17.877361662755483, 87.6988505680139, 42.9187333223481, -108.67541069783319, -34.26472748685067, 66.20098311127325, -66.97151409484587, -43.01864180472105, 25.071654608041793, 80.7417598753822, -28.41399002440226, -40.721562251746874, 28.491220192997005, -41.04009490431636, 35.90968322642541, 16.77215231782041, -11.161590947539946]"
Al,"[81.9421601638308, 45.51862374494974, -65.86930288391991, 28.309564028340294, -40.3825568955478, -2.007716744251596, 26.121202776901633, -49.69591550002119, 37.434692970261274, -66.66382319897758, 52.19821397960978, 61.16785697607373, 19.51889170436624, -113.68274660195695, -133.26455697304132, -34.31241802661223, 31.04079352565844, 17.075537545705235, -97.07855587178874, -90.83198748914887, 64.08121342349334, -53.72544779932813, -3.070635112872432, 6.359717496589611, 52.91407100088779, 36.10504137624063, -71.72118322460452, 32.94590573828415, -46.338044921325874, 75.22754464930763, -36.98389625080375, 20.03196586371749]"
Si,"[-144.36177322622302, 179.915825994938, 15.99441087662983, -93.78538650265091, -111.99770486614554, 130.35832149910257, 227.26380697557698, -2.436521280921391, -30.900336437149097, -75.97823819883368, -104.39471370589871, 44.19474136232301, 34.7019759675086, 103.36730555284596, 123.99132862132443, -183.65233034282767, -112.24932880611397, 25.49028854945355, -124.95879758793632, -243.38868841014843, 89.25011499695471, 137.66969267155284, 51.41469556729668, 39.1724760129497, -119.85701261247077, 186.53893925978196, 12.191791361796835, 10.952776902999172, -65.90446908364713, 116.12760238536508, -112.53838837326981, -36.43174486139301]"
P,"[-221.95929687965878, 47.221271263364606, 43.033018998342975, -54.8087328380473, -119.99040448156491, 121.34484668269006, -159.19624151368822, -91.18189852371938, -249.9748866170152, 89.86976272931219, -190.01871990985973, -249.0185379108434, 78.63211924645273, -10.97603372507897, 119.78459118875107, 231.4363035041326, -113.32895953842423, 6.269946300023916, 86.76733801893225, 65.62180136956486, 126.18144979359077, 75.77860801805903, 183.88710108620597, 155.41150898529656, -53.84375233176547, 63.44433648737127, 94.77075454395487, -127.02179901273306, 6.931763702434012, -194.7060923227008, 184.84042431097413, 90.33286335714233]"
S,"[-228.50815399097564, 75.1508572762719, 7.6755791364537815, 87.35907917644026, 21.542862581438005, -134.46326977417843, 143.93791347634857, 83.37470884881887, -122.31439841567101, -31.239145699047125, 72.06311387967364, 9.36989747187117, -138.61902197360945, 112.68904315513281, 181.94611329505634, 83.85070519577549, 59.2880510996664, -42.10919041507655, 121.89315898499, 97.50678611686473, -31.922892470768048, 151.15709762528482, 177.97228364034225, 4.420264854034988, 69.44183906372578, -49.983018387106625, -58.20433718967327, 126.73808061625947, -177.53124877869115, -134.19399120442736, -21.064932475202305, -318.4934309617486]"
Cl,"[-145.78253626697156, -51.41308554569357, -95.41271736069957, -90.97984987338705, 19.44024587284003, -4.24809579881631, 35.62015115118564, -78.42035567760618, -48.7094070520653, 109.2576679818855, -119.71913479972746, -270.03006030991264, -252.35279211051915, 205.64630032819383, 64.82605096679323, -15.75612761122214, 1.8159732509389706, -99.34171376940712, -14.2322471605225, -68.40051773233381, -243.58304682939612, -49.67302181996028, -28.69585261450411, -112.76193977593034, -34.33580765486129, -223.41722148350118, 286.4608235384926, -350.4182139907925, 23.193996123432395, 60.2929307022977, -60.57677508806573, -84.31184927263351]"
Ar,"[123.14275838827677, 91.28861538740233, 303.95183229494666, -44.31190865868116, -185.83681535661245, 104.453577803587, 159.66362842886977, 183.0419482955359, 60.68656669380068, 161.26732769938909, -158.06980054821068, -124.63950068317925, -148.35542857715353, -27.276313950556165, 284.0773760112205, -51.63000790840864, 60.470377481898375, 176.42374719304638, -13.99817659729874, 238.7981283298346, -165.48871989602213, -144.97924311396324, 38.11742346070072, -15.825624198925903, -156.44865810300809, -41.990159890447956, -46.01570604021295, -191.8073532299452, -1.251763429054718, -44.68434862317229, 162.96045170133644, -84.36867297674031]"
K,"[-94.31327870223328, -153.71958816781486, 82.20415722366343, -36.35823332783268, 55.36301660240198, 401.89094745206916, -158.1108713003432, 64.59155992142738, -143.79430465008235, 66.4691001445655, -40.004518323773354, 18.326722323727843, -193.65255317339972, 61.53646308058077, 88.2605752742576, -169.44809570465333, -50.398117882035734, 110.51813032459536, 236.07353418685042, -3.748887350139932, -62.31977344767292, 112.99273545228925, 42.399921308780186, -22.362014840419757, -126.23100820148315, 77.75375813224038, -69.66199993033383, 37.392018436335235, 69.73338739584851, 132.70698964972206, -184.57874557605484, -62.40886374542009]"
Ca,"[-6.4765417771365055, 169.76054529234028, -24.24512699187711, 78.89905128113024, 104.35969722219855, -28.73130401154314, -18.8537588011224, -72.42083664136638, 116.69119307862526, 130.86920510503856, -4.636763388649009, 113.52043050750063, 105.93021226427902, 48.879384472017655, -143.89320031273877, -73.31551447478154, 78.7823286881143, -68.43062330335313, 22.40452595630667, 56.65160074598631, 54.00106572500087, 7.483128938059708, -131.31016409405615, -105.09480112791428, -71.24918719736866, -53.76409859352224, 50.05195897630411, 186.25951607399548, -30.35864677115901, -86.0081273411108, 86.70582032625619, 83.00920197487206]"
Sc,"[56.601585632589334, 93.9101198076558, -38.16134292149876, 85.81376237507472, 38.725132910324064, -18.69968217309343, 0.4010003098763771, -72.34196871068337, 102.3114019682316, 49.89224297139044, 34.65668467465756, 86.49336403554173, 82.72571259778033, -43.63878840702301, -156.73393848402895, -66.19796704294292, 56.60251549321094, -46.116856465253356, -21.969288091469075, -2.8992961014039227, 61.013094781243936, -12.003240867209747, -68.98129836183017, -52.75289303700686, 13.926922769390034, -14.013350639893991, 1.309748302813033, 112.16193079493732, -40.79094440996374, -7.351960307536149, 40.90452305251652, 50.557980294900794]"
Ti,"[103.55025326508576, 47.94659364263796, -45.701192722254845, 101.3662253745468, 31.673278841506487, -41.65558828522805, -15.289111066424136, -74.19309263364366, 110.34608658655047, 30.648860785918565, 63.578107578919656, 68.59163935027684, 79.0398687219066, -90.25782127684606, -174.99793151890205, -36.60484043639353, 59.64876001989398, -48.371408964302375, -24.313481523031015, 8.710954768617162, 52.783792714566964, -35.78401875959126, -50.90797264519221, -40.95023577103712, 68.45058108064325, -26.518671281752574, -12.636437852773721, 81.7090228771054, -34.82511958538028, -0.7983559355403023, 47.26779330175184, 43.18057973791441]"
V,"[128.94525999007746, 16.93034696556671, -53.35688177787261, 99.54621775792538, 18.407731218593884, -54.87320727536605, -19.386841249253504, -70.12562775123324, 104.48332228621351, 5.533522875387, 78.63696685482715, 52.653147809687596, 66.16048513656305, -120.97660635302235, -176.4331557978844, -11.185464539219875, 56.21829924318872, -42.590516879894324, -33.51245100366867, 8.311756075614026, 45.894922836659056, -54.3263742774244, -30.17579665637634, -27.45350890936294, 101.16770154839824, -29.089357720015784, -28.699181552154386, 52.73224891190286, -30.20890614128661, 7.689325258855027, 41.852660464933116, 36.19393803110239]"
Cr,"[127.05908313438215, -17.428066140779254, -61.10739721448322, 65.4227059552205, -21.107003194255093, -58.69731905358937, -17.777865257287814, -51.66224034905946, 46.501954380652336, -48.010721468493415, 91.02176598870368, 28.789121187283914, 27.47143428551891, -139.6957233119262, -146.0834773718793, 15.2132948246469, 54.508648092938344, 3.8476140370521916, -77.46545063225103, -25.82238667741118, 48.00126727133844, -72.85207903614877, -6.914626163026322, 7.540209718025926, 100.89406565000604, -14.033309455021131, -58.793492648135405, 16.201759771519065, -32.274395315126554, 36.28836716977546, 5.211374786501693, 15.762716434870633]"
Mn,"[111.13997097123053, -5.148031764161085, -49.78558182301125, 68.62523112556727, -9.620671258290754, -59.73333828566277, -22.95800802971399, -52.958043708020554, 44.78809772655733, -26.733433508931846, 88.40313983352311, 33.143902250255024, 42.18978359468952, -114.07386121456435, -138.37032394925342, 1.5054065912338919, 63.38566292598534, 4.725051523554585, -73.86209620152881, -21.577006889242114, 53.68252972507138, -58.2673948584018, -29.01435097407222, 1.429413719271478, 78.57231082565941, -19.125840787395447, -39.77461591190223, 35.9299919749013, -34.94554545778576, 26.461862117083555, 16.682752238095002, 13.918547389840645]"
Fe,"[127.4555124582944, -52.73642697570785, -55.62033205712595, 45.35899894228516, -50.74323951745444, -52.16103321650601, -17.919042472745872, -37.28604023847625, 6.992379935304742, -83.41165474654892, 102.92587725129107, 8.939099250733971, 7.653543149246708, -151.2605623272424, -117.63181930166238, 21.31493141565245, 49.27866579495164, 37.30845832008249, -102.96443282192155, -57.74947401686082, 49.26379171942318, -74.82568109488375, 8.532943984829453, 37.33655943926608, 106.79375951770646, 2.886555630437513, -72.67310955682338, -14.888463575279273, -34.34379222468902, 69.04378272841424, -20.637410790244232, -10.130806844008085]"
Co,"[133.33170018986638, -83.86028958353653, -63.10556300077891, 24.988846682175367, -70.36238103467939, -72.34833821031798, -26.859036755647985, -23.934892021075022, -31.748854565636925, -115.71245149021468, 116.97966338280901, -13.920206037934287, -19.58189354195096, -166.17942577448582, -98.52276414706192, 57.459043680850634, 54.53275224533167, 66.22124285985248, -129.71511559787984, -62.29247004052672, 45.38995399021186, -96.51592494192907, 22.251351442222578, 58.27202433395834, 112.53907018984837, -2.1673641176091105, -91.13263949174303, -41.554642541849404, -30.54425130069111, 72.35145654001212, -34.472828052847994, -20.664503542222658]"
Ni,"[130.01011043565265, -95.6686091570382, -67.06566341746746, 17.055734799601286, -80.14530529398388, -73.17303354366126, -25.615621094160304, -17.37120809810256, -46.99776978434804, -128.06440766444814, 115.49968436811301, -22.47348209443697, -37.53640034248056, -170.7508752730873, -89.5902865142605, 69.84453651086515, 51.17463376728507, 73.86144797061745, -134.40911957659375, -61.14938001471107, 40.81242499344951, -102.46759126488242, 34.46216001883325, 65.54440752472293, 111.09429456090585, -0.6302868359040634, -101.5306434502253, -53.787508393613805, -28.162419431269022, 72.96880507517284, -45.49653333085926, -20.91265358358009]"
Cu,"[120.94520198845855, -140.13579157366152, -93.5885845823334, -24.35859692107014, -112.8308798587727, -73.32151937962139, -23.64241357119189, 12.91769988693112, -100.25053888908221, -183.13637150119047, 99.5992323785777, -55.7279361368715, -125.85733534345607, -198.58530544019277, -59.08512099844998, 140.10310526037253, 28.794267477936124, 95.46324906487511, -136.44465821007816, -42.40755887325743, 7.2756052633991235, -142.7665446860519, 99.07440487757188, 86.51635479488938, 115.50890069124279, 0.0607612468482914, -156.40261688110954, -112.20927897499767, -8.265845443110765, 66.4065779276438, -91.57045112741407, -11.200872326076874]"
Zn,"[143.85833164344808, -129.78390272754132, -43.06429705622077, 34.62849978597238, -77.6440300522286, -94.65241038425684, -51.48400352647341, -19.238337870431334, -59.57543566376396, -115.87649785098361, 149.4454540316993, -40.6843720067259, -7.03539069308364, -167.0443200189753, -77.14648178971954, 64.04257046585462, 72.01331889243819, 89.80759286805731, -144.61940060409052, -64.12632523314238, 52.65879704751003, -87.80304021687081, 8.812851278953975, 80.90934802817227, 124.25546650950722, -12.951149676028384, -74.39821981321465, -53.544122896207824, -33.92745563102597, 78.65467535550233, -21.963942899932974, -52.57979401080312]"
Ga,"[-18.00510437695002, 118.11596244872734, -40.54367981864872, -27.26914045328704, -102.47208342702893, 85.01621767553286, 141.43094317202653, -36.641360288335186, 1.5047612875677843, -98.55448242814427, -20.315735772439332, 71.17118941268369, 19.753369994090647, -37.96838642332167, -39.58794723096561, -131.80732638977057, -37.23315832627993, 33.41563924248392, -141.01120365991588, -209.35060712460333, 93.78121995239167, 31.856471210663486, 29.263823586330233, 34.97938030775191, -27.112381577756135, 138.97818697823308, -56.57700382792674, 22.549137367384866, -74.16362388442498, 140.69555119192114, -105.45006338922616, -3.771220090905944]"
Ge,"[-149.72663338940694, 175.70274673982178, 18.91831787013755, -102.39096801287734, -117.33585460745688, 141.85313964347984, 233.18161615530192, 4.474868204728542, -34.75346354348871, -82.04723502748462, -115.54909846454346, 45.257450931626366, 24.927596007477, 107.40002468598807, 130.58761579400232, -186.46157754536156, -119.21445203415689, 27.75058521704437, -122.77494423702005, -250.15442877296454, 80.58901206901038, 136.2990547588352, 54.366567570671336, 43.21305772509096, -125.56133405760069, 195.56600424206414, 9.319864264824425, 0.4762651327174441, -62.97244029824148, 129.3363670969086, -124.24236046312481, -33.51410310573317]"
As,"[-211.7354330515452, 65.27350947505181, 31.043118246648948, -39.935579266053765, -115.49861915935178, 115.0525311755273, -152.84978626108276, -101.35609742204944, -235.30524906091551, 86.90237707477003, -164.3708827699448, -228.1725237078676, 86.1173036793377, -22.81437361630823, 96.36484361203797, 208.02581726317348, -99.61584674388787, 7.3641960058196965, 73.89768883927597, 52.31894435875418, 144.29887870087276, 80.10646858267312, 176.4916087420939, 143.3130969597939, -46.87459923815662, 61.22023105857506, 83.42659231318201, -95.924517957589, -8.789456408272887, -191.24647751246394, 179.8321145902732, 75.73846070808997]"
Se,"[-228.87221784260626, 74.33609669436905, 8.018463752497265, 87.79433005137984, 20.990132185880658, -133.7915432961423, 144.5938463256629, 83.32874423175029, -121.9090512706628, -31.44695313490938, 71.30264902106866, 10.004890151289352, -139.0353176719231, 112.54624122890712, 181.4729533526042, 84.24776482313828, 59.76860522407156, -42.725538457381795, 122.23112219564536, 97.84872022939484, -32.295461859602554, 151.64042479375334, 178.06039802297616, 4.467207970534112, 70.5169675882984, -49.609666246051006, -58.154899785185506, 126.21147779684574, -177.16638249490305, -133.94812331216548, -20.775488161887537, -318.30269712557356]"
Br,"[-146.370636897732, -53.153427132249206, -96.3541434381475, -91.37111227467868, 19.53124185264004, -5.4787998627847845, 35.7011453502544, -79.00804760572454, -48.5080858019769, 108.53312301553653, -120.4216507583774, -270.0182720831615, -251.6333190744943, 204.081859362152, 64.88962507044005, -17.0099834704879, 1.202251088304082, -99.97548729535568, -12.943945287607404, -68.5246128924212, -243.19281645691666, -49.79540311763093, -28.614575749028727, -113.72834686772663, -35.394762921419996, -222.97142855975244, 286.4479973300891, -350.73636817077124, 22.97840186707826, 59.5723050410078, -60.795586476330385, -84.81477680154102]"
Kr,"[-17.403056712364624, -263.792977990063, -1.8553615766888258, -96.28888841961353, -206.8772806679262, 135.2926938846261, -29.524746269803714, 216.811379967153, -20.85390414881379, -73.50174185153598, -143.64361650552638, -49.55964229832259, 155.01404492959833, 205.04722071847098, 349.15796579448335, 76.48244237074495, 204.0767716328342, -264.23195361080735, 42.019142373369085, -81.9205347916364, -204.2219988294216, -39.75469850971562, 95.51011950859035, -48.27252645153353, -75.18587816713291, -157.57378086794037, -54.864212543517255, 22.156217391671863, -21.24020245880002, -50.98347773781163, 11.522121992977313, 137.07338943569366]"
Rb,"[-142.9955007501012, -143.08071531505462, 98.74672844750229, -38.12304164324038, 16.220869426349935, 386.5792167665251, -162.3021005494185, 86.97525361319323, -123.21091570916342, 55.997363596694356, -78.88867491033898, 47.96884103923933, -184.41960582123968, 49.300449105936295, 51.75851780969826, -165.1361417335267, -48.160277905868085, 90.5747768422862, 264.0992486570962, -23.90289683378993, -89.77099838168722, 88.1735506796346, 17.300422997671774, 7.365534935944608, -128.9339041653332, 105.42671910201244, -71.05202333176135, 10.087965917499291, 37.71511562702418, 183.51238657441945, -181.76062497551575, -63.800407822725866]"
Sr,"[-9.806629703468921, 171.89186164859296, -23.60545324284638, 76.74533040919005, 105.86739016105497, -28.90113859870341, -19.453797426315674, -71.36089894595779, 115.09044672176375, 132.40607222307722, -6.306738295064386, 113.66711431282334, 105.38470991729761, 52.810941136813916, -141.25517039149784, -72.7122757312024, 79.1392082159984, -67.70534406328326, 23.199316762400844, 57.89325982868413, 53.43524587364376, 8.009266221024454, -132.88896432874355, -106.1305159273643, -75.1628872701156, -54.7556747893145, 51.2478524488535, 187.854528341053, -29.71024630097328, -88.41702169215505, 87.2599425207835, 83.33742202123457]"
Y,"[43.8792590536723, 118.81491611563253, -33.702286005047206, 98.3688006481997, 65.97777840475918, -24.20579362949557, -7.055445190577236, -79.020937517644, 121.33012349015067, 86.45100107896647, 24.34508633008873, 98.73711155356496, 98.71370052575688, -18.000099162155983, -165.9705238931792, -73.11217333114476, 66.23677032749471, -64.95663263304917, 0.14547913269464277, 25.846582998584957, 59.547047309373255, -3.495422259812504, -92.0060323566909, -75.15697608348687, -6.305240596133816, -31.13974355442209, 21.450817944574087, 141.90079847702415, -38.47924104626411, -37.45615845571032, 63.88417399639398, 66.07774377708952]"
Zr,"[68.86788039964915, 95.19725483597995, -36.47389415616993, 107.22439682166087, 59.68222180739499, -27.273879587728615, -8.134004577574656, -80.15000621387365, 132.0130028792659, 74.60148413198937, 34.83757877568877, 90.3733617534389, 97.07750453937409, -44.62130211128663, -174.66544539612852, -63.937533054876134, 59.1566818818778, -71.7970379897621, 4.221022237498831, 27.543498077215578, 53.32520795027699, -11.409019470838137, -74.97294896636781, -68.72352250648692, 27.469437212636482, -30.64639996544541, 13.329599803740471, 120.93811997363612, -34.965240710308564, -27.92614511873083, 63.66874289982454, 61.55092628173471]"
Nb,"[116.30715100207551, 35.81812602548143, -24.0085963375649, 155.52014836470346, 58.79607789634347, -32.885588057834326, -1.762545687998692, -86.97041531965615, 180.80741502388742, 83.73163451694681, 46.12818804882061, 62.894070460104956, 111.55456291082109, -83.68714482294776, -183.88358718682971, -57.391172069523556, 31.20699051235954, -121.65527337304896, 49.25924931034691, 63.48001660874797, 30.71001676778183, 1.8044331816234087, -33.27740329468728, -63.170404497981096, 106.7913556962112, -35.70177643042082, 24.992547295352566, 74.57410071253562, -23.225171467492657, -28.984629598007654, 85.2588607462503, 54.04765267143847]"
Mo,"[34.565207168897906, 140.66375048302777, 45.04505435850992, -304.3687972544126, 141.77480067615122, 45.89645333200632, -106.3386296393055, 86.0204464517551, 104.5401825322559, -86.67698045298256, 30.380058802864937, -11.720703054000465, 130.07808852956575, 22.780442805263643, 222.99326560373675, 95.66541490206724, -162.37740792233225, 28.861283027677757, 150.01380565863755, -129.84930225107098, -63.0903468760785, -23.670519158265584, 64.59748219188236, -74.00352458266079, 198.45519850151737, -18.502802769086983, 23.114839668932934, -71.80812815252577, 122.93154229460178, -24.4037963960355, 129.2054537625434, -233.8574873184631]"
Tc,"[198.0342617552877, -119.48770098167648, -60.61116853707479, -88.88127656479325, -40.19669483599093, -60.94687205674475, -58.49617139064943, 31.479810112533094, 9.087436376251347, -189.88721651451158, 110.08122610096787, -43.534548185021784, -39.230948431635305, -207.37948602511042, -29.940778607248255, 152.09615104080865, -24.252185014433014, 64.0815428888291, -62.79022939185739, -76.49878539216365, -41.99503604399683, -163.98160321758758, 89.9458812167155, 52.111906031151825, 233.67416766857946, -10.816655128041205, -119.09995585064534, -157.26530142976586, 46.54146934040304, 94.96178681952286, -22.973798733639782, -67.45049150998847]"
Ru,"[161.97136999655282, -140.62412720840572, -73.19532990852524, -57.11387892314467, -92.04024990997931, -61.12348330041905, -36.684809606935644, 22.103685883222248, -59.92646402143455, -199.44955256683124, 110.88617895426846, -53.48659072246972, -82.18007426409191, -209.2125340477715, -41.01402232125337, 137.95900910841098, 4.1776351343779075, 93.52868739396597, -117.4849805140209, -82.3955402715837, -9.676913439122748, -150.1871582598942, 95.21884733378228, 84.80807067510734, 177.23639884053983, 7.6280678885255355, -139.896890409375, -143.34810337763017, 11.24873457233906, 104.31332135038338, -68.09459648358848, -49.52224974985997]"
Rh,"[135.45331780783252, -101.1791948822245, -84.39639756426988, -31.09244053879718, -93.82820557088837, -51.0803473193672, -14.673723875728955, 3.8775725189949037, -52.88882038255999, -176.01877237978994, 95.91146339766087, -29.41821347524628, -80.93621127119958, -195.08852985865715, -69.60094926775378, 104.83676508964487, 14.350759102670402, 79.26310541785446, -123.96988866101243, -76.43795676413521, 12.301611209127428, -131.99825829054038, 84.48447418902123, 70.70014017508318, 136.46351406660787, 15.20269112651694, -140.28126363781746, -100.28255023309805, -8.08608103995125, 89.9733419292264, -75.95840011747228, -22.038713971880373]"
Pd,"[132.68805964074025, -127.94834023291499, -89.37498936880814, -23.971085815079594, -104.66211384187224, -67.73293572020027, -23.052344769274473, 7.7356626393825865, -79.37003459705532, -180.3639098797573, 102.92024362385195, -45.7790049377275, -103.89472588977358, -201.12194396646217, -66.88117156519422, 126.63072628632558, 25.791261719354146, 89.34842502569265, -133.16705853021972, -56.6469560945061, 10.360338276518457, -140.13928114378447, 90.80674036380364, 81.26895439580595, 129.45688289219572, 4.392619268525471, -148.7813316022207, -108.05538623249257, -8.825499242836527, 77.78557692818711, -82.30621305755483, -17.34549338299512]"
Ag,"[1.0300627363266615, -129.0336472881958, -138.3241349345642, -61.51402420345122, -145.9445259667701, -52.69606887203502, 22.67590556860547, 51.30686391909663, -191.12008408945317, -188.83907918208848, -1.2536006885472721, -65.95403007845881, -288.8482996838509, -141.3611796143863, -19.61559183512849, 194.9746244627921, 10.797370771458679, 98.2621004675713, -123.78989641533371, 45.998011204941484, -35.509776149462795, -160.67814090673335, 156.81159591637362, 77.04019481609282, -31.022160673919878, 0.017853987853310743, -218.36253543233244, -114.02625082533503, 8.463223824121494, -10.389987912168548, -180.4393680010379, 87.43367257299421]"
