Element,Coordinates
Hg,"[-529.4450215121825, 48.03223819221683, 37.99469245609666, 97.12180470535397, 152.60503217411696, -21.699240289921427, 255.39507304433658, 68.02449965728435]"
Tl,"[157.1503992670093, -193.78208509109788, 149.08167445869762, 103.0261543823394, -41.65478847858508, -143.5512066325411, -48.92307066510546, 433.9189282481465]"
Pb,"[114.51024028572658, -245.50669547496008, -7.117889473055685, -42.965915488169586, -129.4533156771793, -183.66190534982368, -63.77187242900494, 444.88034550641066]"
Bi,"[-69.14362794218961, -204.09327989516933, 322.8994712718578, -427.8613832438745, -86.56613187013753, -40.901507167458064, 229.17069415216037, -93.70793883698867]"
Po,"[44.28116706217147, -329.16591950856133, 156.99222415023712, 122.17648356819218, 616.8210433420807, -165.89606351480103, 43.46567161843618, -267.2876654760112]"
At,"[-420.2349016588945, 197.52482801507412, 17.421076753020778, -375.7170705086913, 35.24010124356425, -295.3449631983332, -369.61021066618923, -216.5050641420076]"
Rn,"[-309.52992285207773, 213.1146022589881, 443.575454664587, 46.406380776439626, 119.97227603479524, -82.0345786327637, -70.4763270551457, -511.9112928173734]"
Fr,"[503.9931908840844, -245.75546302275453, 284.80485713413185, -234.39692362687518, 167.3878073137645, 242.90016886268106, -274.34730054374455, -138.39274492236714]"
Ra,"[236.9426434685176, -305.71371665182426, -150.25949225747857, -378.91518228455783, 363.10957945546596, -39.698265071636925, -393.57041452297597, -161.7855180860805]"
Ac,"[-22.05598542062078, -65.08142817537646, -69.41709173250901, 36.08624314832886, -116.52284898627981, 32.3734097878781, 99.05899102321861, 38.280524169328736]"
Th,"[77.33400975802786, -72.4122514751609, -191.5325644785503, 103.10101189632867, -274.43613472656506, -73.17834754355256, 165.18508978310234, -86.46520350058476]"
Pa,"[-17.86977404328197, -65.39567784792584, -114.59463612909549, 53.79170507571104, -160.71931056524429, 17.2028490591026, 106.12077428391304, 23.855317071119]"
U,"[90.32661145917807, -72.30144269587363, -197.32724035541227, 117.83634237875201, -295.43665514823067, -89.12250996860662, 164.47301132017768, -121.28260371445697]"
Np,"[7.827599175121178, -63.77522170589051, -140.67020596855778, 70.14055289783003, -202.6901798495926, -15.017302034265999, 135.8238960234454, -11.87209965884243]"
Pu,"[1.537238342607705, -65.88661752690474, -128.9962279635574, 67.52268165203886, -191.09278089505787, -7.355057786611422, 125.79845712201153, 1.9775061361709936]"
Am,"[-24.475451169621795, -64.78659123650142, -98.9891490741609, 37.88824904078993, -140.29546852485342, 27.715334063759443, 105.3328354388332, 28.753341674057474]"
Cm,"[-24.782372042224114, -66.40721497307841, -97.32667988997387, 36.93501629178776, -143.14163482285807, 25.60743370490983, 105.60985498278414, 27.6904196049159]"
Bk,"[-29.41132305944496, -56.724153212069695, -81.48244602351981, 35.988400749534854, -119.66568923036353, 42.067175245864604, 98.41073300652917, 38.2238990746647]"
Cf,"[-21.09316080151502, -59.37130906356828, -61.551218947651755, 44.468322407413766, -107.03922782512737, 37.47548080973822, 92.93189224813214, 48.12116546989872]"
Es,"[238.91320624568712, -93.80673719363733, 164.32821996272114, 301.34834965345465, 272.24924501117124, 173.76885266025073, -450.51795371807947, -372.83839656859396]"
Fm,"[289.3787199539628, 17.292457444560927, 402.9959952560709, 23.462177921451378, 356.09392862478137, 152.0672623840185, 118.41958753452494, -469.5343915740991]"
Md,"[-86.60242258633502, 114.96967799154723, -133.8150285583164, -108.62746284028584, 423.9848312351602, -235.65288351994914, -235.6785426178495, -533.6751473875839]"
No,"[35.20935602419549, 435.58640592721656, 184.7464796557862, 393.12838711405897, 318.7430693295553, -196.3945235903668, -160.73215889396533, -290.0929517070551]"
Lr,"[39.3214202006706, 186.28833999611572, 273.012558115941, -88.96273253565926, 478.5468860712387, -405.0152947066062, 322.1514082505733, -124.72535095577622]"
