Element,Coordinates
Mn,"[171.33467964807826, -220.05497810826975, -173.40513110537685, -4.017962068533991]"
Fe,"[300.2178706131815, -140.87608132594184, -167.88497591615902, -52.222232889464415]"
Co,"[391.6179878225736, -91.75221639573179, -148.16428840013594, -43.440103815918505]"
Ni,"[422.008604703817, -61.261775609541054, -137.45260512197558, -47.59116045890669]"
Cu,"[552.4639249167881, 58.546948037356586, -70.45687041648883, -101.46299960469338]"
Zn,"[448.27550122226046, -95.59419728437706, -128.59913141612705, 10.443513101210026]"
Ga,"[49.426884882386965, 142.57195782295565, -405.57553211687025, -205.93287026701822]"
Ge,"[-152.07218431681432, 437.5401635937449, -441.98035812310656, -211.5895683515244]"
As,"[-449.9401616669861, 387.66655775080386, 16.5085707070678, 362.13464556916125]"
Se,"[48.00329874906406, 420.1313814153277, -314.4070083247655, 429.25707594025323]"
Br,"[101.36725628744655, 754.1815150613573, 130.10891312309064, 7.239670891010561]"
Kr,"[-275.64893986191987, -124.63535284889713, 545.7630729926412, -486.4311154931144]"
Rb,"[-306.93219036373574, 434.32689196975696, 20.850613559269974, -487.2031019886314]"
Sr,"[-318.05154285280497, -324.2783632817069, -195.69550041482907, 92.4079764168533]"
Y,"[-161.78979252121877, -321.52922616937934, -211.49310467848514, 33.0989979762461]"
Zr,"[-108.57605065196189, -341.40781096822855, -194.45854213242305, 14.33307320792111]"
Nb,"[-42.11710259614961, -442.54274264774, -118.91649208467783, 1.07189886711186]"
Mo,"[97.45051351862168, -58.584834567475426, 225.20914936258535, -621.9956039438176]"
Tc,"[529.3816731997097, -86.3058681579157, 44.507727142002786, -262.08257146978923]"
Ru,"[565.8303469348581, 4.193235908302034, -29.0789673203356, -180.20543895303632]"
Rh,"[488.6291509027233, 8.82181140012267, -97.86317064247767, -152.79854897417107]"
Pd,"[532.9955225619383, 27.099794995332683, -81.75235246920184, -117.46132641902759]"
Ag,"[590.1127517247255, 331.38293388260627, -7.620108614584254, -78.37464392222746]"
Cd,"[416.3020411788881, -72.59736932606816, -138.25066217299013, 392.39753991218737]"
In,"[-186.99997198086226, -48.56521183615727, -303.61796203991344, -134.87935801113719]"
Sn,"[-173.84764284753547, 237.2571748686801, -448.2686813116378, -187.26455961833224]"
Sb,"[-440.07634005152806, 356.08229547357956, -8.822089845475123, 355.659911818882]"
Te,"[62.153728868415, 457.3040977944688, -298.5181760076737, 434.8642504348485]"
I,"[101.33187724977334, 754.227269474907, 129.7013618094859, 10.091466322601061]"
Xe,"[262.3042117687429, 427.6205143097539, 577.2528725243816, 6.231054979087905]"
Cs,"[-299.6380516597733, 449.1155788470835, 18.560723170114525, -489.31718778578386]"
Ba,"[-338.5856534422779, -317.4222656659424, -188.82627063892758, 102.41133597272538]"
La,"[-248.86149955802486, -326.1666019558329, -209.52478209492656, 60.20094662036599]"
Ce,"[-188.01769309921988, -332.1795103096203, -205.87628297699536, 43.367132998033696]"
Pr,"[-178.67248639465112, -322.9422618098962, -209.12378320377593, 39.798943224581805]"
Nd,"[-181.93487474562608, -330.1151011040261, -206.78612951288486, 41.699337973378995]"
Pm,"[0.6811943597930761, -93.6191645962834, -196.24400621454146, -9.759336592547132]"
Sm,"[-165.9543382626797, -318.0806621811218, -211.91803087579052, 35.456166302006594]"
Eu,"[-245.41825108910376, -319.66294029366014, -213.28431472839196, 57.82727522123389]"
Gd,"[-163.28712038710225, -315.2738446258519, -213.95840160438897, 32.11428671231164]"
Tb,"[-148.80611034532714, -301.770651337478, -217.8238979903653, 25.92322837445418]"
Dy,"[-142.67469669212403, -294.5426262538448, -219.9993480536788, 23.198380014436815]"
Ho,"[-140.47100395381185, -293.9939591835478, -220.7008848031648, 21.866424802717116]"
Er,"[-141.91000564121032, -297.5045879529334, -220.01660962830965, 22.480177350328308]"
Tm,"[-115.41980186415942, -269.1229152075121, -226.89369631189425, 12.86107330360234]"
Yb,"[-154.54226661620874, -306.62568813312976, -217.4387756596042, 26.545891963852142]"
Lu,"[-113.9240812793777, -267.519906715265, -228.05285366071203, 10.344259844546444]"
Hf,"[-74.2480180439429, -322.1374537347928, -196.41428811398706, 19.322669562723963]"
Ta,"[-46.55421728059588, -465.96308741776494, -99.89777339939633, 19.347680692299804]"
W,"[180.30550279760655, -38.4034266604782, 230.52875275013744, -598.3302856705714]"
Re,"[393.8099799576054, 55.06125347986804, 298.900003159367, -555.7753370527736]"
Os,"[554.3157323764408, -7.812931376568694, -10.932386695568928, -212.59624026378157]"
Ir,"[505.5604623624526, 25.550116103448314, -88.84476599808706, -169.60832800298394]"
Pt,"[519.3451834326471, 21.557897267773445, -90.54527471144266, -120.46502894593566]"
Au,"[597.7049318170107, 101.92994003695061, -39.11377165984938, -131.64544858325596]"
Hg,"[417.60839332116814, -37.51785646394434, -120.3389043110229, 436.86221241042085]"
Tl,"[-205.15343088914548, 274.83415132721257, -315.01888162302293, -305.4031317872929]"
Pb,"[-190.87842323521352, 241.97570346493313, -447.87196010846134, -184.58015112525771]"
Bi,"[-434.52398773993184, 267.72229457202474, -52.96929594155664, 342.85658611441073]"
Po,"[168.4460924374109, -290.284124277657, 612.0454766305211, 372.3627214414905]"
At,"[-165.9471114966777, 223.9164307988574, 702.784953020934, 65.6253791575471]"
Rn,"[-197.7678647426572, -113.90494109144738, 567.2584282999148, 491.9378969683241]"
Fr,"[214.85846262147376, -333.9712333006824, 683.9452346926441, -18.151767383287883]"
Ra,"[-74.78740726684492, 235.94603590345366, 623.913312062567, -374.84076915567744]"
Ac,"[-22.368697343733118, -91.1148460333823, -191.468083314342, 6.764196425461634]"
Th,"[-176.54902832763946, -311.2665881518765, -211.87573017669715, 42.5963143468848]"
Pa,"[-29.96099159447948, -147.46117182801777, -210.9400489822219, 16.33915312989472]"
U,"[-204.1631264038903, -344.28429873814974, -199.7506145572874, 50.206069197993365]"
Np,"[-77.66450226390576, -208.33608950671515, -211.17865528269112, 28.988978177251443]"
Pu,"[-67.3612761713722, -187.22981713650393, -211.72614990037638, 22.920227690125916]"
Am,"[-20.491883554761092, -123.12734957901198, -203.52252333715856, 20.220909650147956]"
Cm,"[-25.055352202519575, -122.91159459294872, -204.07285417952116, 22.306356594310156]"
Bk,"[-6.86902550014849, -103.80110955278886, -192.36323083464083, 6.034953620107379]"
Cf,"[-15.084401793938436, -83.51201650396362, -187.01856891357613, -10.774595679892991]"
Es,"[368.44711189867223, 303.4547939146671, 443.6305006711722, 423.76482972418404]"
Fm,"[-4.755092828067132, -290.7929066052245, 654.6112311993202, -335.968390557535]"
Md,"[347.42172170832947, 14.894227899483752, 648.7102024731909, 248.48131785815488]"
No,"[-117.89500117140147, 203.8089604229182, 406.1867643172435, 623.1466376860071]"
Lr,"[-479.92859609329616, 42.15582997213138, 545.3265451651629, 284.43653124183584]"
