Element,Coordinates
Ca,"[30.852142066523292, -54.7883123481121, -11.698736908162084, 67.53437188037783, -114.80653790586261, 87.81199179065577, -214.64612814696096, 35.846237573278316, 48.185672321481874, 169.48096583248895, 34.125141219505814, 100.46156793151755, -310.48340524900533, -47.02433190593242, -76.93504373440268, -162.07250715929848]"
Sc,"[101.49181342202934, -19.679784458475144, 19.216800451359084, 55.384308770217714, -34.79121286402447, 37.758981949765484, -192.6187359032344, 51.261940034959714, -18.622822038219322, 82.10928823384229, 79.2927223785193, 37.94636419249836, -192.5693710153952, 67.01885075476852, 3.6736733783539153, -105.16020240905893]"
Ti,"[119.81311340982992, -22.81477117044879, 70.39405645334115, 45.549350391502784, -38.45736575706201, 5.7455131981102, -172.24450175572863, 76.61003247791629, -96.17812504380872, 48.036273243529145, 88.7333185563976, 41.32922978586771, -185.74875653357554, 114.64860433580132, 31.733665719079635, -79.75258097569122]"
V,"[131.68709333831612, -16.172824265553903, 94.94323802877426, 43.32690101890532, -31.889816992319, -11.121447616913157, -145.85886822379842, 91.42672943888012, -140.57228297002106, 13.39175119061358, 93.97125733399513, 36.34343436953223, -156.86480878306986, 147.08825789410164, 50.19058979420074, -51.04817123360689]"
Cr,"[170.42390991111077, -8.48955134090958, 64.93024014216516, 57.021824006780015, 5.476559694970791, -10.895090761202086, -89.2528936818082, 93.56739613934415, -160.50552555682287, -43.872404807065365, 86.2795401936602, -6.929102062146837, -50.729513370199804, 160.61635226933058, 67.28787299825075, -3.4764294813388]"
Mn,"[166.53810453667026, -27.849922296965186, 50.01680393921387, 61.21793836740378, -5.734606906059394, -6.389214197641519, -103.38854815529396, 77.89049848547552, -145.07882562232652, -21.392950683059926, 74.90990010193738, -1.7862138581487643, -69.8351080726811, 122.94788448777257, 49.98534504838573, -23.57833543403382]"
Fe,"[197.5359428196912, -5.020524268319951, 46.101142953270454, 53.68717115398237, 43.178881720307075, -23.688767931324843, -55.34813268776093, 82.89222098590619, -173.1950597875765, -82.47784123085384, 78.21305118787559, -46.82333229986893, 32.43323719724916, 164.7383057174388, 84.04707614138577, 24.757017431937623]"
Co,"[218.88465940716236, -10.56166812046817, 39.947144362553686, 66.64660979017901, 49.09058969000224, -27.039908230304675, -2.909254909711052, 93.34687043005742, -211.72941631801467, -124.86828582925129, 66.94735353383298, -61.89775611336066, 91.81074914050035, 170.62009918078243, 91.2844935782299, 63.816372114593555]"
Ni,"[217.47269727501498, -9.317904103775078, 33.72965937533255, 66.92313517964367, 53.096307548604365, -26.416632039742154, 25.37186007996793, 99.05995217554273, -214.35514580569094, -137.68623022774128, 63.82390967346744, -68.75041470609325, 116.58164371884898, 177.3691250811135, 98.16374512621404, 81.7036294597876]"
Cu,"[188.87625520449564, 19.914583590860058, 28.97983455379187, 54.49192725008585, 62.6487480933311, -17.0396614516494, 154.33685513643715, 141.27478163833695, -229.79359843951775, -198.55069090758528, 49.65651053626331, -83.19122668547196, 208.95462665594084, 228.39606434645958, 125.9968999465828, 167.24561662184144]"
Zn,"[247.34872703786274, -56.33916034294516, 44.39607833276279, 65.66775815339226, 47.85564466625777, -58.630131137143536, 11.189753489308451, 74.78813241759218, -265.53114292286284, -141.48862012779412, 46.08189694917271, -72.4443494314134, 121.42131029238875, 140.10006561580923, 92.52341019260757, 70.24052116357396]"
Ga,"[153.09133747449474, 118.8427113915477, -139.20510262690854, 99.86496912522989, 180.4784528374504, 67.01608905735186, -171.8266987414222, -47.76498368245207, 173.5698705279605, -34.830495376509155, 130.21251377873423, -123.756971361333, 139.2068925326414, 95.0744911624932, 41.08353362109906, -28.080703287594957]"
Ge,"[7.981545023777015, 160.20896694285395, -236.34161738081417, 103.66072707400735, 227.0196941387843, 77.64949714211126, -147.78621272285474, -193.5043077838788, 385.723501121537, -18.50169651763799, 96.76057031396441, -136.36650739754245, 247.27133397260437, -68.78618378596056, -34.6510938425431, -19.64657216953924]"
As,"[-82.83172047772248, -257.40321847535813, -8.765153735033199, -108.7518069649382, -320.45107630991004, 79.21054697714041, 147.88546733432668, -232.9974167891629, 255.27940075991273, -243.31613883474637, -23.384754424110085, 250.77156215339411, 222.64624430908208, -1.4906425937305168, 30.694835175127185, -9.354671981583124]"
Se,"[-237.28906934185963, -280.23721869833, -212.86069224947428, 59.84044272596827, 194.02878049419368, -13.36038968079764, 6.970390946645838, -150.92304465451127, -23.52098127247715, 103.2831401465657, -54.16408963270713, 146.8827234446807, -0.23911903842766571, -13.88323936246469, -142.9324605695729, 408.75462783504815]"
Br,"[-99.15217679500176, 119.8280813643382, 240.71237930600947, 229.47079271191905, 203.84254360116452, -124.94087358656404, 335.12300465390416, -109.79917198545772, 129.55596003795446, 110.46345065117652, -379.55827580299115, 191.1372495878854, 94.96299997374571, -227.096042827107, 183.94524345090448, -33.70002819214135]"
Kr,"[-166.6226457198609, 5.079022869591679, 152.34165366466388, 60.826694921403295, -227.98125292243242, -371.58923537723365, 187.97637490105987, -259.00635444622435, 51.589434278054675, 183.83213977017067, -222.98917349103223, -289.7322493468822, 234.58514026264217, 68.65335646432305, -237.9125257138301, -72.40884353795771]"
Rb,"[-106.6450829753478, 25.4080783469281, -175.0748848557273, -438.0043545859516, 184.50991437264875, 24.96271455171237, 150.93243918866858, 24.6920069515818, 276.35492083172016, 174.13175989462, -187.49906682697326, -234.75006750581844, 130.46863394267484, 23.68590220769445, 129.011388758279, -83.94782834792107]"
Sr,"[27.967947853086805, -55.70074409544338, -14.163886638859227, 67.95847434476075, -116.67898055083829, 89.8106173944103, -213.22319170457837, 34.65697525012562, 51.10723590200199, 171.24190422311335, 31.470707897839155, 101.6837384478725, -311.2762085515926, -52.14707444644963, -80.18182058432346, -162.59277777862118]"
Y,"[76.83428778677084, -36.402329248890155, 21.52517013061882, 56.64649874702732, -69.35491298429913, 48.906852844654175, -211.2475777243282, 50.527781901678814, -3.3563765529361826, 120.53613180115052, 70.82823181272562, 67.02379974324995, -255.57758599606726, 36.98927817190935, -18.730004051000115, -132.1614338583234]"
Zr,"[78.97626765585188, -28.402669561678007, 51.99637481928838, 44.213004590951726, -62.97295609106972, 28.187107302906877, -204.42086082793506, 60.379297535993246, -34.34056961131504, 102.46787094542282, 81.3172138413183, 66.30542985719079, -248.5973037359393, 70.19800676537271, 1.2426855236691356, -118.53899746897918]"
Nb,"[32.22594901086686, -30.110323608272235, 145.38406380775845, -2.4607156807079056, -72.65479781913866, -43.64213147454522, -192.9805430365899, 62.36974182458343, -90.59487526703039, 92.51530679522259, 104.9528839231758, 93.29170057356716, -278.67860589191906, 123.85286468095819, 43.71487666725132, -101.00199426399047]"
Mo,"[-257.1948391479034, 206.2075076923737, 238.64015758735277, -248.87486245069286, 111.10746849504797, -55.31846881069397, -212.9667061680201, -128.99741730481125, -71.66954852694671, -197.75275203869265, -113.44369940462532, 160.8725029166084, 163.96200438179227, -18.56994281484846, -201.3746976602053, 97.7848712439772]"
Tc,"[105.78750511150514, 137.1373310187726, 190.71764364406576, -41.21499273406726, 87.79072093540518, -78.09635005049304, 52.232037275952855, 103.93722380516617, -295.8613607088841, -244.94414362781336, 32.88563740816231, -39.94810847096706, 176.5770961591726, 230.86057536835074, 77.27662913616629, 148.27023654238062]"
Ru,"[173.75067372131636, 81.38389434135047, 98.26089609518664, 11.429678934737982, 96.36055670890504, -52.34041946816042, 100.42810338341708, 112.08723970681542, -264.2489955164714, -235.64026296906275, 43.862164628820075, -84.7505624147422, 223.75680639908757, 231.0362718501289, 110.092854100092, 158.92865026713721]"
Rh,"[184.14579905034714, 60.500250385127856, 52.67369302605338, 39.08289529970804, 86.04473954500915, -20.89022761871219, 71.45673308898373, 117.89209786276483, -207.5452041280407, -188.46657756591435, 64.99620427366798, -80.07583447285809, 181.1121660546268, 230.1657973906093, 111.21833028193996, 131.48645680767063]"
Pd,"[193.06664767547883, 34.16568332388043, 43.618857125648844, 49.002271755102925, 71.15464508600151, -21.91928361292009, 117.28494777918914, 132.68710837700866, -230.48882862391633, -196.50133164438267, 56.38488420154713, -81.78911389742028, 195.27840775096936, 230.6285915074528, 121.01191471274497, 151.38782784604078]"
Ag,"[98.79050171724438, 8.743632428313738, -103.67818922150391, 91.38288054253547, 16.278672053671563, 72.15856497604054, 389.05766347620533, 209.08714127469818, -87.61735136847929, -160.93203776684874, 31.05160132668581, -97.57122164476893, 255.65787324619967, 223.72416786951723, 151.9039075633555, 243.2468611222192]"
Cd,"[297.5856488996884, -292.63143263277436, -59.38811476620504, 91.60892373048054, 21.79614594880815, -141.17204019633851, -9.049791860411162, -98.91071863540276, -274.9013467458673, -66.93677589204208, -51.18925598458933, -105.16016776637345, 157.83921011913665, -150.19021140385698, 30.672022451034003, -8.267544581043573]"
In,"[73.35520475695337, 40.65210818003127, -97.369276783412, 7.506376494659989, 70.5700208084435, 76.55579349133944, -204.22457005824964, -7.476309612703971, 171.55407509399987, 108.41379345730103, 69.46781889551096, -46.169630530508705, -82.94347393033344, 41.87199354271101, 10.072994316410405, -123.43869066683885]"
Sn,"[57.73668773496536, 121.70237708096515, -200.24969674077244, 94.6889799210338, 182.75867033290265, 89.117743262349, -211.9526794609804, -133.43193007613178, 326.1813532444935, 27.90575965375826, 111.36365745409422, -104.193956617962, 125.6824774318929, -16.10852261216704, -19.26253044438597, -67.86690562296782]"
Sb,"[-69.17464524317411, -261.35440412235357, -12.692663846478839, -100.06429551562319, -311.5221535827672, 81.26675805496855, 117.68493653883557, -226.59530786534972, 247.4272909764497, -230.36002254873918, -16.644155846044175, 251.33661978473341, 206.21527998108758, 2.969915079485434, 26.590913795876656, -15.651814858995964]"
Te,"[-254.17079117373655, -277.95304430210564, -215.75336751187385, 56.3193696078882, 201.56433758708505, -18.075838023119413, 32.31493435244156, -154.2406553988967, -23.550758595177964, 100.2761139179686, -60.84737346106627, 142.70319215788, 10.949603096121761, -16.342965996696314, -143.2362907048329, 428.3337881557068]"
I,"[-99.72234579308186, 120.39781274460168, 239.17224061965211, 230.28275794639754, 201.78065444443794, -127.0126369688916, 333.31937816418247, -106.96906104603602, 129.09805952765356, 110.96355494197057, -380.36399213901734, 191.81902987896893, 97.55823044967754, -228.39589397132772, 184.54542100255168, -34.740110417069694]"
Xe,"[-39.885396091596505, 72.52056349365053, 33.385600723300634, 83.21080193021805, -213.56797027076854, -104.97417021299535, 101.33499258142719, 61.91500835506411, 250.51991214469646, -218.48628858559755, -404.8284170069441, -299.018181110076, -78.76197917483569, -226.95655364721844, -145.2359685731801, 332.71591462841656]"
Cs,"[-109.54064241949179, 39.806309127403416, -175.7609199470182, -434.3442675221704, 188.90508495047686, 25.183610445806664, 160.29371930585552, 17.2523340369778, 285.8931706568926, 173.59026212057108, -181.2426079176121, -241.6902504554002, 130.48077578004603, 28.87166039547468, 131.42852130486696, -86.35270283530326]"
Ba,"[20.335487428606964, -58.71008630684848, -22.505516185382515, 70.69416707047439, -123.31165958631496, 97.13157510475585, -206.48193945225916, 32.210328301294936, 57.64439119711885, 175.28982008110188, 21.56409051747713, 105.19908929208462, -312.4488045504799, -69.46441407475356, -91.59379412084154, -162.9674447677692]"
La,"[52.794989389596786, -46.20339436641593, 2.7201185626880817, 59.649766443829854, -92.10009964907329, 70.18971177229743, -219.84236896121536, 41.99734220434823, 29.226443651905377, 151.79829992892806, 52.84921685194047, 84.07628196570695, -289.8222504756794, -6.556723205269372, -48.55840842916033, -153.33265283111956]"
Ce,"[65.4972911025594, -41.125980468990576, 22.354953355471146, 55.03574118663872, -79.29813321022046, 51.075277321026164, -214.65998886087718, 47.81951564462238, 3.1852038802467844, 131.29728075646318, 66.79814583086026, 76.11803853141977, -271.71202252680916, 25.68003302007872, -26.260649257667044, -139.00239249981192]"
Pr,"[69.56437247683985, -39.734868364130094, 20.82497232924891, 55.631155199857574, -75.30651213727928, 50.52220659115296, -212.9577671340977, 46.40197990692218, 3.5564791670556115, 125.18976165400072, 68.76999877985442, 72.81655046602539, -261.9016904601647, 29.80446674786482, -23.13177639699474, -135.87402656471042]"
Nd,"[68.5487332410823, -40.43243955504424, 21.93757576967549, 55.649184718174894, -77.46390582247115, 50.96790001680448, -213.42241585850797, 49.031426797823656, 0.8532851253180993, 128.9330215822773, 67.11561133930263, 74.04216886744162, -268.3155520048906, 27.80190469323353, -24.929695522622776, -137.40158584778615]"
Pm,"[86.84621708304431, -43.66763888742312, -20.53911794770781, 21.135606036741034, 7.262560645469149, 26.575129864922868, -107.47479398192621, 28.569235484634383, -14.881712476055458, 26.87270020881899, 43.73496158691496, 10.354543454081213, -56.68243098913974, 68.63070199005706, 18.49679516959239, -30.27181461133883]"
Sm,"[75.24478776931487, -37.48606598012075, 20.069754804593018, 57.244515794617314, -70.638924490311, 49.74267127367043, -211.1821091618394, 47.90169425895312, 0.006937924459631723, 120.17234607694375, 70.49248994761292, 68.38988018235446, -254.36041084225957, 34.50228939787456, -20.066069094842575, -132.4699209739128]"
Eu,"[57.037698213975105, -44.12324243733374, -1.1321114460515578, 62.20983480418192, -89.67489819116258, 73.33961543992011, -218.698370516943, 43.22743277703118, 29.682180804560588, 148.98153902390985, 52.50962811541268, 81.14831206787564, -284.5272672616736, -5.902949929563674, -49.03793538094713, -151.7782677645217]"
Gd,"[76.8054272888296, -35.76950972097908, 18.508393704669658, 57.241449726339766, -67.54248309136905, 49.869290234848314, -211.36087406220346, 48.147403322524326, 0.7655510362832032, 119.7769131834687, 70.92677975840304, 65.69132694730114, -251.73773864441782, 35.59874595635499, -19.14581756661138, -131.9715196863713]"
Tb,"[82.13109011735378, -33.51413270312977, 16.38186349066609, 57.1930473375865, -60.784193471855446, 48.2392499973679, -208.2059474434605, 46.219742216785164, 1.005146116268278, 111.42995313001289, 73.40555032295808, 60.037164986684175, -237.18482073429277, 41.52627722056692, -14.161965345781395, -127.12937519657633]"
Dy,"[84.75601167404014, -32.52125812368414, 14.512853205100967, 57.44426536979791, -57.38003984444274, 47.845724993060315, -206.6552207174594, 45.06827445186143, 1.6660732312149824, 107.77827804515289, 74.18402230481291, 57.00393650442375, -229.99889001814878, 43.43123750496825, -12.248447151729444, -124.98737132586035]"
Ho,"[85.79193924602254, -31.765725277187435, 14.080809111947394, 57.7446177956986, -55.98225010838508, 47.70897387013242, -206.57353083327547, 45.58716810608121, 1.025603511320269, 107.5391190169202, 74.33094032993493, 55.68617588716325, -229.01993938670213, 43.95242864429834, -11.854888938388342, -124.55469969404277]"
Er,"[85.26069398000229, -31.858413008618978, 14.865228777502303, 57.85038992688888, -56.87164995945355, 47.760811934628336, -207.28966605363672, 46.59513367502185, 0.029774640444947043, 109.1696600385805, 74.06780248320064, 56.40152517977441, -232.08145304263536, 43.433220316087194, -12.505282086998271, -125.33330634886828]"
Tm,"[95.24965103269157, -28.7875068538997, 8.629516984852122, 58.05717405652822, -43.39974865635167, 44.553823085563, -200.12368473482297, 41.36418972185451, 1.1038465238275341, 93.8506937724678, 76.83038115184817, 44.43871441944183, -202.5703808177739, 50.828151121456784, -4.383956868212436, -116.11593506179756]"
Yb,"[80.34421540432145, -33.04821987128025, 16.116442081923115, 57.592735126508686, -61.875146783652774, 49.37972119829573, -209.99134362200175, 47.41009433000609, 1.651698966151203, 115.57786271494672, 72.42268896449754, 60.918902233263374, -242.84440552265008, 38.92127133540203, -16.398677583684197, -129.20036539902028]"
Lu,"[95.84354091067858, -27.248436452465562, 7.949156669540105, 58.15289358138731, -41.5970801432511, 44.774936264504035, -200.19004685819002, 41.70017273463917, 1.7270564431996531, 93.44196377151981, 77.35167726756222, 43.058123513294746, -201.11301831509329, 51.91325670618068, -3.826334773660846, -115.61328061816961]"
Hf,"[97.89914151440392, -33.569317014837985, 44.53790391610108, 52.90346430861616, -57.61716092138408, 28.085374331131664, -191.04563455220276, 62.86126837728871, -50.586231805331614, 86.78582718367882, 77.28229849712581, 55.90024806656368, -224.01415619937134, 69.90464624512217, 3.5399654705842543, -107.553043712934]"
Ta,"[15.285412621565772, -47.60707978534604, 153.29454810568384, -11.265057130059665, -77.9190714048395, -63.80842597423501, -186.03695295486835, 54.27387443048518, -84.67216739195453, 107.37673553221624, 113.16472084647071, 97.72196263270943, -292.30008545789235, 126.21656358349671, 59.25349676390782, -103.03482573813353]"
W,"[-232.83202931918154, 224.1939155089883, 253.85962764979868, -244.07094864763928, 117.87987105955732, -63.74751295934589, -174.2169932512683, -102.38320603568344, -106.58756598280024, -224.7915295370625, -102.39298245573144, 139.67815854849124, 184.54625212674796, 21.505767872682583, -171.9921740361382, 118.39486547144125]"
Re,"[-201.19049775286283, 293.53625000774315, 284.85646665531056, -235.78791863161914, 140.89217341696695, -92.51361731472254, -15.058357416277081, -47.449695493542045, -177.77082807464868, -303.1086676896995, -94.36985065865957, 61.87117252856598, 273.05253939279964, 86.88158082169478, -100.5094698382104, 183.9062928885192]"
Os,"[154.4746229534106, 99.96647014839307, 117.83404795234807, -1.9444163986151386, 97.82243356040347, -54.84242496650347, 88.61024968365282, 110.6368951342664, -266.39095129890734, -240.04775468627702, 41.541988184918814, -74.10816743322603, 217.72148035262387, 233.18941749196512, 100.66160985068743, 159.31884312095568]"
Ir,"[180.8249182844118, 72.46442087413088, 56.65517707131768, 31.402933256162758, 98.84457444243384, -25.927711436749984, 75.0520560970701, 110.3736759475496, -209.83775566610927, -204.28735280128245, 60.789417361442965, -86.02337877834995, 205.6509095824336, 230.70995179622528, 109.84432677337077, 140.76842754847445]"
Pt,"[192.71118868037306, 36.64462897602615, 43.23361964421229, 49.60786600356235, 73.03799776087591, -20.446554689221326, 104.3990146670255, 129.1406149207692, -223.8684803042445, -192.59124254785957, 59.6528912557495, -79.91503518799419, 189.78873839348367, 229.9322627388438, 118.3991833507538, 145.68786015583038]"
Au,"[175.02989158035567, 53.32579869930872, 32.17855598886337, 47.53577240066911, 75.33783172850667, -17.64839788409465, 200.98526796458063, 151.29147237566235, -223.7444662268892, -219.33900822877007, 49.0001045194914, -101.80847473881458, 241.88870463044321, 244.67987642787003, 140.13879146275488, 189.77013167060312]"
Hg,"[285.742966996956, -308.8001792938613, -76.98101394512165, 86.76446132152849, 23.965300722329733, -147.10618337389107, 5.420018884499919, -123.68167871843694, -262.8024649115455, -63.90366990706872, -71.70933077825526, -111.88570275871349, 179.8268884844735, -192.4336421448533, 17.806849407557543, -8.252115177902445]"
Tl,"[32.31352961965504, 95.90715193462059, -211.72295404924424, -95.46530361200236, 209.7730477030748, 78.57243601613635, -120.1364726728243, -72.28673905098283, 330.2008205412632, 89.19400007788407, 22.06185184332855, -171.07659851466804, 130.22356852379042, 24.621225318077535, 47.76874310704997, -90.25624833564639]"
Pb,"[49.69259129461536, 120.58519858095686, -204.16019171591225, 92.24804397109158, 181.29725966274628, 91.54161821846495, -212.87089252719753, -137.594385216955, 335.568450894896, 33.054406260419945, 107.87641080753887, -101.43283611879592, 123.38691345943562, -23.784034938772088, -24.03429935880448, -70.11560064441198]"
Bi,"[-47.37879894288949, -261.21199900044724, -12.712377091715219, -81.98519850327216, -306.0943717682155, 88.22640133797526, 59.90527959483536, -208.29721457971425, 235.9853347197785, -194.00807744828936, -1.4626821771554133, 254.50374147337598, 148.29165268690903, 9.068460384271052, 18.62411888599859, -40.69564944686258]"
Po,"[-244.07645667017286, 17.57865631603053, 22.637376713231834, -177.8166074793238, 192.19416050238007, -30.409237977578073, 387.9418820522922, -131.85419791971293, -159.57398729322648, 137.73089576512496, 339.6715310269209, 182.93385435547526, 207.21669626926848, -266.3851403281717, -31.649422896106255, -182.22828049433542]"
At,"[147.34668418706354, 167.5331480896062, 84.08494385223509, -145.26376597843634, -22.558093073475998, -193.4737825744736, 412.8833121966438, 91.58297242557548, 241.49819365587322, 112.7440391728459, -20.896310417627436, 171.7382362783069, 109.44348392312389, -127.55175034298115, -440.1577923135694, 146.50395829648014]"
Rn,"[40.11325643170052, -71.37124573755747, 217.5676884675674, -205.30707427460575, 201.19266407258917, -76.90287751309852, 334.9183991896618, -272.30812274147394, 108.79894500159642, -225.77441796844934, 65.42642483569412, -181.0444678015722, -184.3729956314459, -387.0101425485338, -121.00167118701256, 106.47281006459289]"
Fr,"[-56.89420852297534, 319.42229935514456, -204.3215644211602, -191.59444765215906, -72.09229730265315, -142.70601180188947, 164.1892187943754, 22.130273860382708, 58.2120162098692, -161.66283079068225, 7.126598861226037, 229.05463189343394, -40.7319111043821, -448.6609132620653, 233.59280185936794, 250.10721697778828]"
Ra,"[-485.9583156306668, -64.54661988403656, 9.125318989315684, 49.69944184811757, 28.13630837607453, 101.53597695017632, 88.47326408562637, -181.38916497839125, -97.64465355014526, -258.2334256627668, -66.0569214225877, -308.8736604286146, -65.84637262579136, -281.12094056144883, 289.5138539449972, 33.785119708604526]"
Ac,"[72.35542089324562, -48.64744459971401, -17.408426868157207, 21.56442968257334, -3.3197748557024878, 27.841626966438184, -117.40246959318796, 16.039844211226686, -6.120061993363318, 22.521716452242384, 40.95882506343075, 29.037678471910073, -52.83398809844778, 55.772207055154226, 4.422150054721288, -32.39075716289897]"
Th,"[70.13953585693487, -42.61705465146051, 19.083763040174503, 55.06842196250926, -74.04416379544303, 48.2360053739714, -212.5962947037901, 38.7420091502296, 8.616728232368024, 119.83674908243772, 70.42301177974542, 72.41349766954, -251.97421924978528, 29.225726196193403, -21.018519502622933, -134.86075033469643]"
Pa,"[81.03007035435573, -42.75918904656792, -9.792364748248794, 44.86619120731274, -3.628361395567091, 26.6319617727963, -157.61332549267664, 17.291079504651663, -16.27836022444074, 40.19699371489973, 53.45323353743757, 35.80126352193923, -90.03146204894851, 46.38124465276349, -9.26548094648003, -48.991910213788664]"
U,"[55.581383668584586, -45.42836049341599, 27.048641833154246, 51.10126988766889, -86.00929071206947, 48.12631836398263, -217.9374287441212, 44.91891827983939, 6.035408495071325, 139.82144296544683, 65.53185003196272, 83.04238949565676, -285.1516016358325, 19.773530501477058, -28.83006705821717, -144.29204474479405]"
