Element,Coordinates
Co,"[90.37944021253357, 37.119205458261646, -14.488121178455746, 24.097895506028134, 29.191909728057645, 47.30423752602283, 1.0339446423172982, 8.089522579636188, -8.555301282010223, 8.152410528576631, 18.84775441313748, 27.68682076529955, -21.832806953601377, 97.0338314842251, -38.36572188277593, -33.994669047803875, 34.30633941959641, -48.943445678649226, -3.712586881376432, 23.540470318889703, -16.803524965338298, 48.935914925653826, 74.96814818138273, 1.282190686876792, 33.72415429514272, 31.125968927507177, -36.704356967561296, 12.885988372504276, 51.63063338356952, -1.772891065399459, 33.293519539213364, -52.51745824775843, 5.7642741107550854, -37.16808452839136, 65.21144081029122, 71.52262146614875, -15.616856701702696, -5.987014181160568, 25.989496228809234, 29.464264992484722, 24.899915438447962, -27.916433512987503, 31.962016552944434, -2.537805927160326, -18.539303601129415, 43.50846423042721, -11.538472817522623, 2.0976990023578, -13.731814348041537, -44.35865607552549, -28.648340055683736, -10.92547216479559, 59.38556707793064, -10.660693387608797, 26.39774081052376, 3.165198155015129, -1.3023050715457878, -3.49884533840554, 33.74273117671305, 31.268689057980037, -4.8767212235678725, 53.799243301336894, 31.026449576799237, -81.73538578431447, 38.5877666377078, 24.04852395064859, 23.818246754393122, 6.156005789976909, -31.63324024736912, -42.914471840474704, 19.74388750103316, 14.760327274054637, 26.959756817064946, -14.052659262476759, 3.036668354003386, 35.143571986440946, -30.346318150148527, -73.24099460284879, 17.140819191490998, 17.848148521991323, 44.258572054960176, 19.782955416424638, 20.63403960981481, 1.4111792735297997, 17.88098484168594, -20.85412068454127, -5.015775716380801, 17.40736039312059, -20.090666281477723, 103.44495776055106, 18.395200195512096, -27.79795694264179, 28.12721215131323, 14.003991476651123, 53.652032140925925, 10.702891617227968, 3.270273203868545, 77.67368572813598, 17.749586982399865, -45.33145480868271, 59.017309747533524, 32.45070857961377, -45.94973390392576, -28.12599682194277, -72.04499406149242, 52.10926108061172, -32.166486192503626, -64.64540032492849, -21.786520000803453, -92.48156390533123, -34.98947798025452, -31.576874733222024, 18.01622918053737, -7.487016559866226, 29.377657923941452, -35.634313931591905, -17.07692297845627, 25.16616018675518, 21.82951862006233, -45.77649509122312, -75.41060220857405, 25.3395171497849, -29.37620048218754, -43.83072395363875, 5.049087654221542, -9.54545480270296, -66.67719971689347, -37.820146381598754]"
Ni,"[88.89206246852979, 38.75745030592403, -19.858213451006733, 19.995011973159748, 29.495206656305065, 46.34750971571057, -2.9684819463683727, 11.20793797620208, -11.33111646819056, 5.482333005015745, 19.74797692528411, 21.902843858940166, -22.41228953536313, 105.69437012723304, -39.40461132691403, -38.57633430672529, 37.2589420137433, -51.68332194176592, 1.956633932848916, 22.404274066097955, -11.320701503115489, 51.55236320166176, 83.56300217997962, 0.43171063478169647, 31.134611975556027, 33.830778502547965, -36.63710894956583, 17.63160854099167, 52.779761622854245, -7.668010552212817, 39.506823207024176, -54.5869796234077, 5.643910953161969, -35.051999464162165, 71.56757897635015, 72.59368468418923, -12.208090364657222, -9.479671188590952, 29.978574782695205, 27.469875427403593, 25.519803253030663, -21.45191670739549, 36.58125391346939, -1.0738248494231881, -24.035277260578887, 45.89711207815841, -15.788692172191995, -1.5926134843721302, -11.681502242881944, -47.82131603918084, -29.883104003403936, -12.86862411068822, 62.69038531441301, -17.29341261453214, 28.67079466875245, 8.153023803075143, -0.028155162220893884, -3.1754167299117917, 32.37999802352384, 32.21428425167544, -5.509903322811449, 52.72083267487357, 30.317068360086026, -78.87534896704103, 40.89020457487874, 29.968461916676212, 26.56691664218333, 1.581725624545525, -32.275688109248264, -47.81516390424455, 21.82875211960598, 12.918161880279554, 34.914296062293566, -11.969155600706415, 6.649519735008641, 40.71755487504893, -31.650235267666517, -75.11711028910473, 23.903864501372055, 10.992338900710925, 48.31935647260614, 13.499539481816798, 21.958396708201068, 5.087904535898322, 19.108815122711754, -16.23159212456227, -7.0248104010465635, 25.903640669221748, -21.249436902472596, 110.76342599949125, 12.000157842614986, -29.488857318884534, 29.82462827796026, 13.831352946774464, 56.986160022623416, 9.741002558405086, 6.4515747710027895, 83.93731366737379, 16.558550679855944, -40.96520999358533, 70.12594111529708, 32.99462965267061, -47.028566752497376, -33.57603601914838, -71.85052993358634, 50.30164843930683, -25.111086999687316, -67.96999486756627, -24.463870638175706, -91.6822732828908, -30.77721453165988, -37.096729735839915, 20.866380622644932, -10.508515450551076, 35.144264446780916, -37.26094276841125, -18.642721162463307, 22.94193211657102, 17.80105376050072, -46.68039540679039, -79.07140150961253, 21.59440285953214, -26.86624277363267, -51.664382507506375, 1.7923701203743199, -9.505419218013051, -69.78015988198817, -50.91857360269927]"
Cu,"[78.1774996510234, 40.420387938042126, -46.215369578633975, -0.35951641703463927, 29.052918505384604, 36.62447414168713, -16.896991831828323, 23.146553511067655, -30.76888430084814, 0.15401816314524383, 23.94394443691142, -2.5226580821677698, -26.2965949025502, 138.97274340212957, -43.459744901373334, -55.3609306708429, 53.792692777484476, -66.02965905018453, 26.327481049564078, 18.24226199934022, 9.531578543588832, 62.4996876546166, 120.11288008494994, -6.581888530836284, 19.945830627489, 53.141968036712505, -36.47359441718834, 43.90281541262754, 53.61340209762062, -44.56908475183465, 63.81955268939814, -64.99042181493567, -2.967829283945224, -31.3432335103114, 105.91565075959221, 81.65853990419895, 5.376235533344831, -18.849940589672524, 43.99642863835576, 17.033535026597225, 23.021682781457, 8.78023744724059, 60.34564499798551, 8.487684867943269, -54.68053967450368, 59.035285251745655, -34.348562871177, -12.486087468015116, -16.173853618935645, -58.34687919835191, -33.55339243903761, -22.794132324763062, 71.71763989228263, -46.578346070126614, 34.756258614662606, 39.49164667113132, 4.732191337406262, -2.4500537216481746, 19.62413837915142, 36.79367079379719, -12.910919183555993, 51.16573930413419, 21.82728624761184, -66.1901244124651, 54.318871413022, 54.68037748201137, 40.41944159361616, -21.448490766262072, -37.00973660276223, -78.40899551000196, 29.838575484929905, 6.905808651590921, 72.34681847272599, -1.1342507808878992, 28.656334992705773, 61.66793749864724, -44.56700275848519, -78.84813681621957, 49.842673772459776, -10.492191090028738, 65.92861579743534, -19.046271114873928, 25.33642982087576, 24.768336420031094, 21.275682965325323, 14.121439215567436, -19.731760516938984, 71.68198230797775, -13.559488353787897, 150.97577546519764, -14.147786115759153, -41.348760475802074, 33.38573640923022, 21.891546606938142, 64.821246716614, 4.474215565610792, 14.891266353076022, 103.41282464253747, 12.714700668701719, -30.585144172940197, 120.21443543712402, 35.06090680298597, -51.08425483292273, -58.817522880699016, -69.56435259291972, 37.767451496474266, 10.797798402218035, -75.70359937716543, -42.67828343081393, -81.45188580312121, -16.745295554489395, -63.41414633044329, 25.347099601802714, -30.649955498481063, 61.4417630951885, -38.127917767665636, -21.2775184532514, 8.222638996257766, 6.040612634004132, -51.144001689053056, -99.53088477105246, 3.0550631568800064, -11.945735836727057, -77.55819984690238, -8.1989681010894, -7.3145168758681365, -88.77524164367539, -109.86633313913033]"
Zn,"[110.78311557215919, 46.24911792685735, -10.768998782284504, 31.166133204189716, 21.613203388736366, 66.85568138312122, -2.1616885865351185, 18.84343959695295, -2.5879161694911614, -6.671302940073745, 20.304512666207508, 21.90863290493139, -18.01771461700434, 96.93464888530306, -42.69099050481297, -41.58024361363942, 37.45639981362869, -47.84365036457021, 11.889548889199206, 26.853975482110105, -9.948010506484028, 43.448663245267326, 85.35636755761847, 1.3318749292087089, 37.227385290562985, 24.83355583495246, -52.27424386722724, 0.6990184207152508, 59.19373894399347, 7.575437749280222, 42.68079521161905, -52.21803239303897, 14.029748881211928, -36.862922987070945, 65.9479608998796, 79.53364791259908, -21.065101584171092, -22.154896182545116, 35.98246322154108, 36.029071578320625, 22.64706033384767, -17.291762490610928, 34.82127334988028, -6.203015585930678, -16.180099685083487, 45.2351895713341, -20.03804870817831, -1.578061045853395, 2.849031930360721, -52.94318849958025, -32.914472310154785, -10.077489732507066, 70.92866275693004, -19.34510944186975, 31.118027936036206, -3.629961041003314, 2.813681221443088, -5.255772525779446, 39.15046100521782, 35.16785005775473, -9.009688592037783, 46.40381761377355, 37.40464614347392, -85.72398153413782, 20.96448488287195, 24.344455511912017, 25.004160819310002, 20.101002617201164, -30.369529877304185, -30.987124991279824, 26.722088275029886, 10.297063047453745, 14.050975047938065, -12.774238348451725, 0.3034046206498415, 53.273870250759046, -38.737558832487814, -99.28924657861438, 16.724229460374648, -0.7096771950556049, 48.3134157916966, 31.522767428172074, 23.930506006077124, -5.417739699001039, 36.290478918319884, -45.62260183063291, 0.37760235247658996, 26.965957505528813, -29.171885406010617, 110.9085467965617, 10.843671571531114, -24.301984080540937, 47.343787357040654, 21.245206797986967, 58.573339770213884, 11.45674890767412, 8.33973267723713, 95.46892586333252, 14.336917109608683, -42.799320738475444, 52.99304226181403, 26.12181596820813, -59.63260770879449, -29.09866007235936, -73.2282230624171, 60.813266997591036, -41.65401432026688, -66.26606596064062, -10.885022027247349, -95.65999310158973, -14.79489532522919, -39.35484442874837, 20.834333897362452, 0.5748451850871692, 31.358818867214303, -40.09375778793874, -21.493760443071572, 26.909385657191446, 13.461408435880607, -46.447648979061434, -82.91381748873906, 30.35808725098555, -43.11044553093679, -60.75471855735591, 10.419212266604202, -15.158698811524099, -73.62714870234377, -48.90140794319193]"
Ga,"[-41.32840824355214, 29.899557014452807, -0.7755415565833667, -23.690009484758967, 67.57759132975066, -29.73896166161084, -20.560314002106484, -27.03957530982164, 28.01414364663126, 32.57312167578723, 27.554653841363102, 16.340940173803727, 18.241703490358162, 115.38800401269309, -22.741464767008083, -55.85302449747668, -38.70422787728378, -27.379230421965865, -44.03042732381548, -20.19004376945536, -3.249137929585246, 78.63192459022586, 30.100875412101974, 70.39761708770035, -3.5286959855489948, -13.836125753467325, 40.86055449306923, 28.528830129273352, 40.97473865944205, 32.846090732375544, 9.46926293474943, 0.10183583974664276, 16.40496766505255, 40.99697292582438, -17.28609091976359, -47.84056801265212, -9.474940984961524, 33.65761637640849, -14.177900386134029, -1.0866755431300692, 86.9916525831124, -79.90097236297879, -27.270367704200257, 24.492089171038376, 11.474318982539092, -3.8806270113299126, 61.26841887679418, -31.71044609541126, 31.554563472100615, -23.73845612363405, 2.3347499474812725, -2.4595972814418525, 20.813346367297683, 49.32708202974029, 60.849719627318116, -43.08681048683597, 6.948456046497152, 24.887968922111984, 56.662276147175575, -41.21373079295598, 73.23454329425608, 54.92510820922741, 45.11778089665737, -22.25815393150506, 71.60088557973411, 24.987848331067806, -19.14359587660992, -34.64564480780766, -6.977737950868961, -5.8928355761456235, -25.215164222286504, 11.338373413273168, 77.01280355533525, -33.267535851017335, -65.4415867269445, -12.208527839751115, 62.62029566637183, 37.04138990366953, 45.203297542337395, 6.932672343927372, -0.3393435799221976, -20.309793309089493, 14.820901273106404, 30.03585359462487, -33.797871282811904, 44.423712153649895, 10.868081142476434, -94.63280359401348, -55.55996512596268, -33.073333671808015, 25.924541241368853, 25.417283480402105, -61.62961707588115, -75.97188726612346, 85.44577510363862, -4.567496087215491, 15.242658907297663, 46.78849924009028, 9.627300556425155, 45.71896509271888, 63.293393358850786, 56.7705137297433, 14.267808088485117, 5.126746255911401, -49.91896081966797, 34.84778740390772, -2.6478260371211704, -93.37683585125512, -13.97655953356412, -96.61761632428957, -76.83092725808166, 23.77618441690943, 79.00057853936825, 9.359235447186753, 24.006910643418205, -50.902959417389, -27.018297288103085, 38.01103911115035, -7.044172171472281, -17.460018863201395, 13.373421446742867, -15.258662439492667, -19.58392326042522, -3.555452663408403, -65.08702532719062, -22.075800283834077, 35.12560951361565, 53.12866392453145]"
Ge,"[-136.40667427146093, 17.13066668294789, -3.816092667886927, -56.60419381039493, 68.86642004329708, -76.48031243578335, -50.86460526208298, -14.426735657773536, 41.92404634126484, 19.364376921634136, 25.920325098633217, -38.055500727366194, 62.27315603346427, 87.95212349263598, -11.895551451669574, -84.06446669070992, -78.27660525302295, -4.230847331657399, -8.124112151442302, -53.97588087453342, 45.96643114475924, 69.4587808990829, 4.935074490359553, 99.61960132391508, -46.8381898869606, -46.933080062617364, 59.071962330573285, 28.559685800116558, 15.236092020341133, 43.663489785498015, 5.289686402103891, 51.891714688770904, 30.91445489232782, 111.34919860121204, -69.9276902742395, -140.87534332396652, -3.404619755903894, 19.327299826395627, -28.156746821935496, -34.91794293884873, 109.26059352175001, -47.3719234983679, -52.63621154592959, 38.065382221726274, 5.053600306343999, -38.991144395521026, 85.33019628144521, -67.93194636466909, 98.25706217045747, -12.293818633145195, 20.80467554451464, 4.530250566369164, 0.8889028950213147, 48.97041723895981, 73.70698146346903, -52.5154645774605, 26.23953457849798, 47.129713831568495, 43.59412381273656, -80.521474064819, 109.29928519546947, 17.900780302696404, 36.16786375326463, 58.84607329771675, 49.60450783268902, 25.71045584160259, -51.692100048329586, -47.650927731744474, 13.410784729971322, 26.860886005583357, -43.418694842496954, -8.809625526633463, 108.62350248238977, -26.302448728155166, -88.80881667614018, -2.962589508139833, 106.82409532149086, 92.43751946494545, 64.03839117060085, -55.344389914342166, -36.34874745527499, -50.482928918968916, 3.9637251883955686, 63.18196629114317, -21.32957424079351, 75.26414023943315, 24.174516199253997, -118.99748405293725, -61.151799189278165, -115.56295764161105, 3.094215039744612, 60.02021825655168, -95.63370450603307, -103.68811856862794, 79.92400145816038, -24.228918074366124, 34.48163791622603, 33.972033926426185, -19.906340441170464, 123.1217412668825, 68.17162614658235, 41.36706132486129, 44.67473202767339, 16.539285368933296, 8.608974277079783, -6.578884992978204, 42.83865423537985, -84.5224102891696, 16.244687063662738, -51.98258215823575, -27.892804168164798, 19.478007969523908, 108.37376541903558, 19.822611469284116, 35.82279953825994, -58.548891480422775, -32.04690765749259, 29.228825366021663, -70.5040477694054, 22.838002774954145, 77.1150341142615, -54.03081163180844, -17.354141838418233, -2.8158623297535548, -102.96407759959813, -25.679757648506794, 96.43349279092396, 74.0962519902756]"
As,"[-47.150863980105555, -105.42413300919843, 8.722237489083097, 32.128986658132625, -62.849450370362746, -36.79949681972005, -56.69996773141741, 119.49350346637664, -15.214747174679008, -118.63544452073633, 72.39837753173038, -86.22035697585403, -16.073317672846542, -41.74546795136718, 2.9151449499289757, -8.664116065501043, 37.95465063604538, 59.019380443934914, 34.27334211184298, 54.408308738373044, 118.30969200948667, -56.46537481690376, 68.91110892644903, -52.58682304039364, 28.021141410001302, -55.604293039277245, 48.895185873037704, 19.388682697399844, 19.00476431207067, -164.59079062324446, 75.35318289604238, 24.825488411195643, -89.86266182813937, 116.28226413942531, -44.32279675344037, -13.822759492754507, 134.801061480316, 16.021221609126222, -14.289896592707906, -56.48677217930273, 74.96489305360069, 50.068693050560306, 95.95546071859034, 30.208079215936017, 50.81570915679963, -64.05155469589081, -23.933201556273275, -60.9874023030867, 54.285359121317505, 39.284491143237155, 120.05395473649622, -92.4883055473302, 15.646929519933286, -15.941921184016769, -42.93855207560872, -71.01404313519406, 62.417235233989665, 17.501321025970363, -1.1570589269474023, -70.78806301565875, -40.745418005333015, 34.119371658526404, 23.707182691381814, -28.65140160993703, 67.27559389508687, 32.21572509654998, -115.96555564221565, -2.917516185118185, 21.744687395201623, -0.4519858538988476, 87.35997911307956, -92.53519695443016, 0.6596517869102383, -14.031641918129404, -67.74808693824654, -10.366911523575787, -47.643734863997565, 62.90438515332481, -41.6167845522824, -28.977558106528235, -71.33954960760327, -23.471956346172476, -52.455872043733166, 2.7096540731386805, 55.17955279263328, -46.150265375244615, 91.29764343853002, 36.992279233506196, -44.28612560236573, -72.55670714491285, -45.403349793421704, 27.563099087146774, 42.50540107350194, 16.04139796428085, -37.22928195218853, -58.78776873981724, 63.403267956809906, -63.20928755390946, 15.627695445693059, 107.00875753831728, 84.56060082930287, 1.670809750137235, -24.67063830609283, 10.841971572122635, 90.53682793073038, -109.77706345291497, 47.85587371772669, 56.02394982861852, 53.33064771033715, 130.58607819293186, 93.1211820329019, -107.73849709823465, -77.36562607637191, 33.875697388235736, 43.94005110119683, 89.34302920248777, 83.99375652239262, -20.03121966432924, -99.21327087522612, 17.41158463098519, -7.228561158019524, 2.848604504926376, 34.3054140833183, -110.52213270871218, 105.16507036170212, -17.87891397106921, -26.476709472863213, -39.290965280913774]"
Se,"[-25.640247940131545, 70.0554107341774, 13.773439648340686, -82.5419363339428, -50.828982808296864, -84.27772256604976, -105.09659878325304, 14.350869629840744, -130.95276797610663, 6.028546272478219, -8.35285547344339, 50.24961092647535, 105.20686149415995, 1.0299178388064467, -79.84568401602603, 86.40974452215939, 33.396981447618145, 39.76630621945249, 51.19592874943441, 26.254977548923375, 59.88049897119912, -34.13407422277758, -60.27469382652929, -35.82746224709141, -19.41600365994605, 45.56221174952342, -21.993706158475348, -47.83119183470207, -58.637238472809294, 29.205301478233498, -70.92219734139876, -24.91266653838048, -27.271959773302456, 47.741296706122654, -6.963466740196047, -14.702828639972601, 41.73851748229662, -92.26786546155986, 54.388482077815986, 28.656946298089416, -81.50130314406805, 88.18451605809668, -109.33946077590102, 38.172266726577796, -17.246415528674227, -64.53788713574524, -17.12156205601919, -46.33524510542012, -35.643749123410565, -7.676693289430766, -33.9583377794279, -5.658497287103794, 5.276006353521383, -102.89534827989306, 40.894108582359166, 14.005072326510911, 12.279375895385014, 106.50864062014453, -75.4107586253678, 1.4129754593036732, -33.6342834229772, 18.523631043949038, 60.774381520306136, 128.036653395178, -12.732221187497633, 75.36024606406303, -71.770499740731, 31.448579209308807, 69.0584457128481, -12.352024498337489, -0.6206069816798914, 37.35097969013033, -88.61181025166375, 83.58042942547954, -29.806323572741665, -67.03654717085996, -3.2904687511388797, -32.29055852762744, -1.9967186217771626, -96.40563186246986, 10.683685155759864, -35.60753608787402, -3.348036541584275, 117.2263958463509, -70.07327393484738, 37.80267476206221, 89.26230383800683, -13.681100784709118, 19.115084373001157, -38.544269775559336, -1.3751594890698635, 38.104742124585215, -22.7761749746401, -26.09539188473069, -9.386494290578035, 64.50006066758668, -48.66777457444757, 22.22053102330533, -102.03274686875356, 52.21466396003871, -24.623992141736522, -149.448074518994, 1.4541511036613335, 38.21463196473794, 170.4452865759111, 47.52551435275293, 34.216144147398374, -82.25847590186127, 79.69312208985933, -0.0015102298628271735, 98.38710073836742, -64.73075564546718, 45.74493536852941, 2.4321012367507313, -18.352209537625278, 6.849302995497889, 10.745778105247977, -72.66201884566027, -76.9637228838528, 4.495237881269493, 94.63821698351481, -26.601538518303364, 14.80947451619201, -169.5552896117172, -38.53357526753238, 53.5065381941654, -64.03944729111646, -74.64246349198079]"
Br,"[-58.034661401119564, -81.49677002858542, 16.126134795410383, -77.38629483027569, -72.87968952760359, -40.61004115052075, 22.45819577437215, 11.061618831934481, 10.389063033363055, 18.03246820757285, 2.8044327170936945, -131.66671483565085, 65.13369762355538, -51.25784939301137, 130.71634332412967, -71.46248504837591, -46.118751869163184, 59.94501349110049, 42.77773224801873, -3.5125209550609244, 76.26671722350738, -55.84515431472802, 9.934803026059788, -23.100838761667706, -128.20976527910318, 26.99434376902866, -105.31018337575954, 53.641982154167316, -69.71555848987727, -8.481142139920605, -82.69886632466823, 12.4534209433754, -0.7343324740754806, -72.79882309330974, 97.37614411494116, -12.131720559661222, 4.014314803822365, -64.48656886748783, -60.19947073997431, 10.170480189985888, 76.3847069614324, 72.24683877230785, 104.76441111002856, 65.89119626822367, -58.83103698302002, 108.24211618277127, -92.1982615228059, 17.999783554704486, 31.674073637905106, 40.77368086788686, 79.68785181866, -62.719507083701245, -53.34545156969299, -134.78029215286486, 1.1580367277559676, 79.70558620760207, 39.5422165454275, -48.361125599185755, -29.939921753734005, 88.26401070660856, -28.715968578061084, -55.960038025328046, 88.90463557365157, 46.764727617961235, -159.94333289992662, -71.05821918389222, 3.248129407194702, -19.52813630764158, -21.77775289354645, -10.017308516044464, -65.48467404970889, -125.02027212042334, 93.43028708237323, 29.132750843734783, 10.661910850828269, 12.365983459133828, 116.03417437137857, 18.29223841873893, 27.705639493667338, -44.27683647440275, 70.54359382756178, -77.61481557295868, -97.45684591170507, 56.53701866761853, 76.94538011448311, -45.37663233631067, -0.30192802641925937, -4.001171211425989, 43.08373302646672, 18.06062496414203, -175.0437595973907, -23.80112828274957, 29.030550226354073, 37.560899443520334, -53.97717504599162, 18.73637661782524, 89.59944643902595, 18.481853945862614, 12.400463770594513, 49.58589563424305, -125.90412786973057, 13.845428740108703, -49.876814251009556, -64.00217201672633, 99.66080879559615, -92.40835132948143, 178.58712003166926, 24.52039109436195, 46.16573822797136, 81.39894227892968, 96.15364781981063, 20.17010444455796, 103.37630474108528, 29.623267212644528, -62.15524458244831, -150.98303151377178, 55.4530356143643, -154.81404497475071, -24.011283513391877, 87.75088297091015, -0.2849324315319294, 5.807428797385486, -36.574744990136494, 86.26120989006837, -83.1744087707023, -13.731505696931388, 88.74160769917904, -47.124763656777944]"
Kr,"[-49.57843181863421, 35.01567924115138, -20.11213080754619, 58.821172753150634, -84.08001143815913, -61.748483032633835, 46.372284108197356, -51.82667068077832, 50.052595360731495, 16.041736412920283, -124.21448219844311, -105.14927188289576, -53.69430492772646, -78.11889861377699, 103.64535215982423, -7.548405365147907, -65.76141342645064, -96.3702013029654, -10.019046102533057, -67.94655210292957, 57.42901922487935, 73.28740207119434, 81.61219884259346, 91.17714420098373, 9.126481022703262, 28.982415367860952, 16.969787943338982, -31.836256445365933, -63.44482037461984, -85.80082316241385, 66.26770113037612, 127.0168353582336, 85.65781095625245, 85.68184028447406, -42.87709633884331, -21.593507478467522, -97.35146087508876, 64.59183672393334, -112.4270577412653, -18.113170199924436, -1.0905611100503159, 122.92658289575357, 107.23795660964794, -51.99149020189225, -55.3631091735231, 31.00764315578062, 4.287469529439595, -42.62431927388357, 11.192073940990417, -100.72569788946366, -15.65666576243723, 56.460913847561216, 26.012882149711345, -98.4771502387207, 32.93333299549366, 94.87926534081792, 54.72398380837865, 82.70424435968498, -45.42480392619675, 73.02320755456722, -28.936278454234905, -124.61536829111796, -37.66305437265801, 183.85210797561697, -3.7672806143282838, -27.797093475696666, 28.97744671890401, -108.93728746969794, 89.33447623775992, -33.51069392104897, 68.49507765327508, 14.697831562853697, 29.65907830879357, 14.248240372086407, 65.08312898843374, 48.26249931712221, -58.77316632103339, 89.51436866470972, -7.126544207885555, -147.54881221794196, -83.77459842743072, 38.13930151393825, 6.872762592445572, -89.11667344841594, 39.75853990084891, 102.46989273836417, 54.75724539699548, -41.9626829060432, 6.41260451302448, 20.303810622257643, -89.6805811432906, 104.7122689241172, 105.62083670388913, 137.87421237912758, -77.0380604444421, 41.41710305675174, 44.78465104095848, -70.88515849657323, -96.20712062184403, 56.804360455415114, -89.77718578520889, -69.13755555304894, -49.65236062116763, 49.67553168923286, -7.071686460358193, -126.72110324022947, 83.54392296051965, 126.09886697368934, -28.966761672954267, -27.240164391968566, 52.94008107882618, -106.1380848302882, 74.9607418578469, 59.456311963580504, 47.54363867180567, -16.93686636889879, 0.9592294635309075, -14.571210596616982, 27.478580413183145, 65.91302236733085, 60.486494591247194, -101.75753223503305, -22.820109926143584, -84.08139190650645, -22.87915431191798, 100.19817605021122, -59.16025838291248, -88.08630240633084]"
Rb,"[-128.53757059634592, 42.649056230216054, 12.175464731726741, -172.0892388602847, -92.99964689992008, 2.5173557704601155, 18.48403836424995, -54.29475179835782, 63.77519963184404, -43.7667977458684, 21.05438199199215, -58.237771281033076, 35.71265688692775, 56.53225815691939, 61.83352533449272, -7.49944990497448, -57.684694111856864, 37.147561676926024, 21.542736520529914, -49.56157447668916, 6.929089953076784, 2.3834412825776967, 67.0694301218217, 119.79637067851166, -44.8130401096771, -40.641276445657, 144.5225114402188, 1.019452591255663, 38.9905512461568, -21.124015161281708, 97.21945565303325, 80.17592117329218, -29.771170367284835, 29.109011836933107, -18.90578717192466, -5.163014632849569, 67.64999593288486, 38.49987523022652, 41.39516779042097, -13.164806598458677, -77.348008760897, 29.638769799693137, -35.05320007870784, 78.353049644639, 37.218447862411054, -11.387448791857294, -1.9072820309253482, 4.140365823614789, -19.209954807575798, 28.305028059147983, 32.897674786834806, 12.306488162911666, -98.04250399293535, 32.76242823879521, 81.88853553139143, -0.10365845242121206, -10.46735196326997, -39.74264304221193, 20.030227984211603, -134.6937685692038, 24.986214714247442, -109.584246621416, -0.7939691690729278, 88.21687414807431, -68.31392282052852, 56.961817757977315, 57.62545111245652, -58.38013279240225, 79.18307492797857, 99.08969243453953, -33.77092107725618, 5.0724624489503425, -42.40324514289974, 32.84775513909292, -46.02560433326745, 14.093857564042514, -5.080479511219265, 0.3261209254711982, 84.30819459164344, -106.26898523410185, 34.416060364048064, -109.2447426596382, 40.76112201453069, -67.39289688590756, -91.58196534109918, 69.23689651745924, -39.87526571091065, 94.8701178243015, -29.49950396680712, -57.545437111250415, -151.28701616066567, 106.09475259393763, 3.0217161253727833, -44.08702389593601, 90.62084828326867, -28.040562788025596, 0.836856970755335, 21.15526459764915, 30.05856784760655, 149.3128145221951, -31.38349533604497, 8.313400784958917, 22.8629844745215, 5.5101983528583025, -29.413875703342327, 40.55408070950888, 70.8397882194535, 64.13279165350706, -86.22515688447646, 136.29365259817124, -2.5900759215193467, 140.34510194249802, 44.96033347211678, -20.338422411719733, -23.928474312641125, 99.57729736277435, -31.08535263288632, -53.0698254299291, 69.78817700096383, -2.6100802050062577, -20.31481228198287, -126.84813726286787, 19.766535410946776, 25.68613573938127, -52.40944155088453, -84.71498936620026, 70.01491678306826, -115.02412359145028]"
Sr,"[38.19964304860126, -31.962903497208007, 44.517268511420674, 58.22736470997946, -4.46198159640468, -16.909621524722912, 33.49233384717067, -47.896881694565096, 12.504647364181203, 5.92978206859849, -31.097896275207564, 71.33967395618363, -46.92098878761883, -91.98022693525456, 9.903342849029096, 100.41202729267225, 12.070315144262594, 34.987335737311845, -82.65538807206812, 13.379994866820923, -66.2430181482887, -31.803692365949534, -113.35162625175832, -49.03178525990347, 27.071372961605913, -15.665236594596958, 25.758877192832724, -41.07185303867432, -27.493633809199576, 32.18088486385739, -76.64211617052622, -11.157194255040878, 4.500857423403509, -25.702561818165695, -43.01054309419706, -13.547457962031634, 2.8427847941611106, 25.67799479658261, -31.94950652852474, 10.089354204670249, -20.850164948737863, -67.20241070249679, -40.682273139005716, -49.54173977931639, 77.93241192040945, -38.765243778701226, 5.969811515582046, 37.7790771868145, -44.80940218784665, 25.88975208180222, -8.17237720864046, -8.340815226576513, -36.79779583494743, 27.69740335298734, -58.9973853887032, -38.757159822842894, -25.790798682360816, -1.4112816602795197, -1.5956365962120704, 16.202126117026367, -8.228212843150613, 8.18407083972158, -21.341348378733137, -41.4851504947957, 22.684136614111875, -39.48604541641613, -15.146525569822414, 22.739038294762423, 1.1526024915041218, 19.50714023398234, -1.5979252133243087, 10.482877948150257, -69.73602385033043, -16.429028804971388, 10.925855569028988, -101.61023671766873, 52.1803721304883, 56.75255442981627, -52.59377300893359, 86.26455308933957, -24.80676629538563, 50.84648969000051, -19.25590707058947, -42.63079539973291, -68.6732163093843, -32.211875438605425, 6.711007748867543, -94.05350839252232, -5.422990984790511, -62.83634270974488, 53.69485321922354, -24.14419630193562, -2.30154039332318, -44.33335233720937, -60.30980291999507, 31.862152168578756, -25.40911827653916, -93.73635292317294, 15.509159743535118, -42.13362381667564, -84.39316381626531, -17.95896723027756, 45.680911323253234, 43.28817301973274, 8.293380259704621, -8.702831222551959, -55.84650667381891, 31.482224154543683, 10.860721981234663, 2.8224659827148892, -56.62657209888991, 68.67956356815229, -45.435033386519294, 12.567975483113148, -61.53841875204352, 16.962196490281034, 17.36450572523323, 32.6282745138554, 53.99988768588266, 0.01982250853407893, 53.25285982006469, 51.72324462222883, 26.38097864293704, 66.44886243894763, 21.44056252058915, 37.893692532031984, 42.71817468023882, 95.2757510224953]"
